anio,nivel,circuito_id_crudo,circuito_id_canonico
2015,intendente,0480,480
2015,intendente,0481,481
2015,intendente,0482,482
2015,intendente,0483,483
2015,intendente,0484,484
2015,intendente,0485,485
2015,intendente,0486,486
2015,intendente,0487,487
2015,intendente,0488,488
2015,intendente,0495,495
2015,intendente,0496,496
2015,intendente,0496A,496A
2015,intendente,0496B,496B
2015,intendente,0496C,496C
2015,intendente,0496D,496D
2015,intendente,0496E,496E
2015,intendente,0496F,496F
2015,intendente,0497,497
2015,intendente,0497A,497A
2015,intendente,0497B,497B
2015,intendente,0497C,497C
2015,intendente,0497D,497D
2015,intendente,0497E,497E
2015,intendente,0497F,497F
2015,intendente,0498,498
2015,intendente,0501,501
2015,intendente,0502,502
2015,intendente,0503,503
2015,intendente,0503A,503A
2015,intendente,0504,504
2015,intendente,0504A,504A
2015,intendente,0505,505
2015,intendente,0505A,505A
2015,intendente,0505B,505B
2015,intendente,0508,508
2015,intendente,0508A,508A
2015,intendente,0508B,508B
2015,intendente,0508C,508C
2015,intendente,0508D,508D
2015,intendente,0508E,508E
2015,intendente,0508F,508F
2015,intendente,0508G,508G
2015,intendente,0509,509
2015,intendente,0509A,509A
2015,intendente,0516,516
2015,intendente,0517,517
2015,intendente,0518,518
2015,intendente,0519,519
2015,intendente,0520,520
2015,intendente,0521,521
2015,presidente,0460,460
2015,presidente,0461,461
2015,presidente,0462,462
2015,presidente,0463,463
2015,presidente,0464,464
2015,presidente,0465,465
2015,presidente,0466,466
2015,presidente,0467,467
2015,presidente,0468,468
2015,presidente,0469,469
2015,presidente,0471,471
2015,presidente,0472,472
2015,presidente,0473,473
2015,presidente,0474,474
2015,presidente,0475,475
2015,presidente,0476,476
2015,presidente,0477,477
2015,presidente,0480,480
2015,presidente,0481,481
2015,presidente,0482,482
2015,presidente,0483,483
2015,presidente,0484,484
2015,presidente,0485,485
2015,presidente,0486,486
2015,presidente,0487,487
2015,presidente,0488,488
2015,presidente,0495,495
2015,presidente,0496,496
2015,presidente,0496A,496A
2015,presidente,0496B,496B
2015,presidente,0496C,496C
2015,presidente,0496D,496D
2015,presidente,0496E,496E
2015,presidente,0496F,496F
2015,presidente,0497,497
2015,presidente,0497A,497A
2015,presidente,0497B,497B
2015,presidente,0497C,497C
2015,presidente,0497D,497D
2015,presidente,0497E,497E
2015,presidente,0497F,497F
2015,presidente,0498,498
2015,presidente,0501,501
2015,presidente,0502,502
2015,presidente,0503,503
2015,presidente,0503A,503A
2015,presidente,0504,504
2015,presidente,0504A,504A
2015,presidente,0505,505
2015,presidente,0505A,505A
2015,presidente,0505B,505B
2015,presidente,0508,508
2015,presidente,0508A,508A
2015,presidente,0508B,508B
2015,presidente,0508C,508C
2015,presidente,0508D,508D
2015,presidente,0508E,508E
2015,presidente,0508F,508F
2015,presidente,0508G,508G
2015,presidente,0509,509
2015,presidente,0509A,509A
2015,presidente,0516,516
2015,presidente,0517,517
2015,presidente,0518,518
2015,presidente,0519,519
2015,presidente,0520,520
2015,presidente,0521,521
2017,municipal,0460,460
2017,municipal,0461,461
2017,municipal,0462,462
2017,municipal,0463,463
2017,municipal,0464,464
2017,municipal,0465,465
2017,municipal,0466,466
2017,municipal,0467,467
2017,municipal,0468,468
2017,municipal,0469,469
2017,municipal,0471,471
2017,municipal,0472,472
2017,municipal,0473,473
2017,municipal,0474,474
2017,municipal,0475,475
2017,municipal,0476,476
2017,municipal,0477,477
2017,municipal,0480,480
2017,municipal,0481,481
2017,municipal,0482,482
2017,municipal,0483,483
2017,municipal,0484,484
2017,municipal,0485,485
2017,municipal,0486,486
2017,municipal,0487,487
2017,municipal,0488,488
2017,municipal,0493,493
2017,municipal,0495,495
2017,municipal,0496,496
2017,municipal,0496A,496A
2017,municipal,0496B,496B
2017,municipal,0496C,496C
2017,municipal,0496D,496D
2017,municipal,0496E,496E
2017,municipal,0496F,496F
2017,municipal,0497,497
2017,municipal,0497A,497A
2017,municipal,0497B,497B
2017,municipal,0497C,497C
2017,municipal,0497D,497D
2017,municipal,0497E,497E
2017,municipal,0497F,497F
2017,municipal,0498,498
2017,municipal,0501,501
2017,municipal,0502,502
2017,municipal,0503,503
2017,municipal,0503A,503A
2017,municipal,0504,504
2017,municipal,0504A,504A
2017,municipal,0504C,504C
2017,municipal,0505,505
2017,municipal,0505A,505A
2017,municipal,0505B,505B
2017,municipal,0508,508
2017,municipal,0508A,508A
2017,municipal,0508B,508B
2017,municipal,0508C,508C
2017,municipal,0508D,508D
2017,municipal,0508E,508E
2017,municipal,0508F,508F
2017,municipal,0508G,508G
2017,municipal,0509,509
2017,municipal,0509A,509A
2017,municipal,0516,516
2017,municipal,0517,517
2017,municipal,0518,518
2017,municipal,0519,519
2017,municipal,0520,520
2017,municipal,0521,521
2017,nacional,0460,460
2017,nacional,0461,461
2017,nacional,0462,462
2017,nacional,0463,463
2017,nacional,0464,464
2017,nacional,0465,465
2017,nacional,0466,466
2017,nacional,0467,467
2017,nacional,0468,468
2017,nacional,0469,469
2017,nacional,0471,471
2017,nacional,0472,472
2017,nacional,0473,473
2017,nacional,0474,474
