año,mes,edad,n,icg
2024,8,2,439,2.3690233
2024,8,3,434,2.612887
2024,9,1,115,2.840691
2024,9,2,449,2.0679777
2024,9,3,438,2.0934472
2024,10,1,132,2.3837154
2024,10,2,431,2.3804429
2024,10,3,437,2.4803886
2024,11,1,128,2.6887302
2024,11,2,422,2.4584303
2024,11,3,450,2.835426
2024,12,1,124,2.8644087
2024,12,2,426,2.507295
2024,12,3,450,2.7260444
2025,1,1,104,2.9094222
2025,1,2,431,2.4749053
2025,1,3,465,2.653263
2025,2,1,137,2.7797475
2025,2,2,398,2.5252798
2025,2,3,465,2.526691
2025,3,1,139,2.5574288
2025,3,2,433,2.4036052
2025,3,3,429,2.392873
2025,4,1,116,2.550794
2025,4,2,436,2.273199
2025,4,3,448,2.3307455
2025,5,1,109,3.041989
2025,5,2,435,2.2735598
2025,5,3,457,2.4646025
2025,6,1,119,2.757399
2025,6,2,424,2.248768
2025,6,3,457,2.3142574
2025,7,1,120,2.7884119
2025,7,2,422,2.2571936
2025,7,3,459,2.53317
2025,8,1,114,2.1145148
2025,8,2,432,2.0756452
2025,8,3,454,2.1569366
2025,9,1,112,2.4706721
2025,9,2,431,1.8724481
2025,9,3,457,1.8864744
2025,10,1,111,2.2860348
2025,10,2,417,1.9150741
2025,10,3,472,2.2180345
2025,11,1,115,2.922945
2025,11,2,429,2.1897287
2025,11,3,464,2.6038527
2025,12,1,87,2.9243188
2025,12,2,426,2.319747
2025,12,3,487,2.5019555
2026,1,1,117,2.7008035
2026,1,2,441,2.171002
2026,1,3,442,2.5248973
2026,2,1,96,2.9936502
2026,2,2,415,2.1315296
2026,2,3,489,2.4723604
2026,3,1,70,2.2166653
2026,3,2,420,2.3275971
2026,3,3,510,2.2903373
2026,4,1,116,2.2658708
2026,4,2,420,1.9417003
2026,4,3,464,2.0311756
2026,5,1,71,2.152727
2026,5,2,349,1.7198489
2026,5,3,580,2.140938
2026,6,1,77,2.1830785
2026,6,2,350,1.76023
2026,6,3,573,2.2321916
2026,7,1,62,1.6818863
2026,7,2,353,1.7486933
2026,7,3,585,2.0735366
2026,8,1,46,2.7965894
2026,8,2,335,1.993145
2026,8,3,619,2.0208564
