anio,trimestre,tramo_etario,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2024,4,10-24,0.2632793135480917,0.20103548928189346,0.2364174512131904,0.778451667877998,161757.0899853273,230367.5211548034
2024,4,25-39,0.8694347909201865,0.804894786116571,0.0742321396355764,0.41056844047070024,550987.4123829997,659598.2438437162
2024,4,40-59,0.8743427366951538,0.8283469339958395,0.052606147187966135,0.21508858044424278,619080.7129393503,748405.024925439
2024,4,60+,0.26653083122848686,0.2620157094889895,0.01694033564029493,0.2518485323773247,573424.1113539629,840552.0534363096
2025,1,10-24,0.18782822105700803,0.15415945135365328,0.17925298719161006,0.8169545364304149,267138.59286219266,410756.9487247219
2025,1,25-39,0.8488300978535354,0.7547595091540404,0.11082381378484853,0.4171300315166303,513225.27599343914,639598.8607594937
2025,1,40-59,0.8641462136232082,0.8119140402452086,0.06044367556619796,0.32736657535789987,674175.8692698919,778798.9702673932
2025,1,60+,0.2825313999372889,0.2785498346437594,0.014092470056118602,0.4204612043707559,615727.7573646539,765284.2965298283
2025,2,10-24,0.19356845698547864,0.1418000522619902,0.26744235878974887,0.7838431581399994,363088.7471846023,403767.266638761
2025,2,25-39,0.8457809739467987,0.7837509642421678,0.07334051204198956,0.35151375430403,609747.29970854,703642.0588636851
2025,2,40-59,0.8553820255418161,0.8289764764985326,0.03086989000798537,0.28809829451677976,685320.4616374201,775787.6767067317
2025,2,60+,0.2329020681839645,0.2329020681839645,0.0,0.13007376786287017,908226.2146892656,978001.9454702601
2025,3,10-24,0.2770604473443483,0.21784358328813477,0.2137326515704894,0.7626104656935756,258382.32998885174,366408.5374588168
2025,3,25-39,0.8697932042793077,0.7986541642650622,0.08178845231745621,0.3183746437389641,629459.1602515959,767833.6796782189
2025,3,40-59,0.8639134118676033,0.8288827543480836,0.040548806209398464,0.2643554189721276,805412.6062058277,956615.2608752793
2025,3,60+,0.22804115183787416,0.21913612159437523,0.03905010201768307,0.4035698945258436,568741.6691241522,702157.9545454546
2025,4,10-24,0.22383301511054282,0.16630668613441385,0.2570055581287633,0.5771351861258254,211370.99664926363,353392.77845777234
