fecha,icg,desocupacion,salario_real,tc_oficial,reservas,ipc,icc,resultado_fiscal,emae,tasa_informalidad,pct_sin_cobertura_salud,hacinamiento_medio,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias
2007-04-01,2.143407106399536,0.0828778369336444,8167.972559196059,3.09,37646.7,22.22571129914131,52.80183777777778,38937.69645219117,133.46308313008805,0.376785149408615,0.30563474436746557,1.0659896921193892,0.03717300398716328,0.09101186424195273,0.03378958799312782
2007-05-01,2.2295799255371094,0.0828778369336444,8108.156687126785,3.077,39632.51612903226,22.57072810279528,52.91859888888888,38342.4936961968,147.60791074167545,0.376785149408615,0.30563474436746557,1.0659896921193892,0.03717300398716328,0.09101186424195273,0.03378958799312782
2007-06-01,2.074711799621582,0.0828778369336444,7986.602682715691,3.093,41937.63333333333,23.009908881245636,51.31698199359944,37610.66610330491,136.12098630494512,0.376785149408615,0.30563474436746557,1.0659896921193892,0.03717300398716328,0.09101186424195273,0.03378958799312782
2007-07-01,1.9988101720809937,0.081,8059.849188146809,3.121,43869.12903225807,23.531953957516816,50.17905456270627,32460.11790516884,127.3875518979554,,,,,,
2007-08-01,1.863998293876648,0.081,8188.141247287848,3.156,43730.8064516129,23.711242165529143,46.60851154069767,32214.676678156826,126.59522767863,,,,,,
2007-09-01,1.8891346454620361,0.081,8125.9261181373295,3.15,42931.46666666667,23.954561876403012,49.20511308613152,31887.4544206316,123.5104632944452,,,,,,
2007-10-01,1.6782935857772827,0.075224668666615,8351.670853367506,3.142,42723.41935483871,24.17528223332575,47.90359111111111,6808.193526407391,128.41538266104467,0.30639315801684897,0.25655747396671147,1.053753414490425,0.020367494302023035,0.11402408277698219,0.04188466891224107
2007-11-01,1.9806715250015259,0.075224668666615,8270.088969006212,3.145,43792.3,24.42839499757844,51.45498911791759,6737.651000661958,129.73508945617357,0.30639315801684897,0.25655747396671147,1.053753414490425,0.020367494302023035,0.11402408277698219,0.04188466891224107
2007-12-01,2.0437557697296143,0.075224668666615,8308.7386447852,3.149,45710.79387096774,24.582070604446148,51.50945278660349,6695.530358220948,128.89792837498598,0.30639315801684897,0.25655747396671147,1.053753414490425,0.020367494302023035,0.11402408277698219,0.04188466891224107
2008-01-01,2.369079113006592,0.0831057162943377,8275.08406072594,3.158,46910.03225806452,24.776425048425892,55.04288575203844,29261.687212056502,126.22689251081432,0.2932908716671492,0.2555954846585376,1.0597672018972304,0.016667078199461716,0.11775599397515989,0.04426858276336041
2008-02-01,1.9765222072601318,0.0831057162943377,8521.811653712793,3.161,48407.379310344826,25.006185146929084,52.02694255695208,28992.827004203595,122.8249045091645,0.2932908716671492,0.2555954846585376,1.0597672018972304,0.016667078199461716,0.11775599397515989,0.04426858276336041
2008-03-01,1.8399081230163574,0.0831057162943377,8663.130282978926,3.168,50039.096774193546,25.28566382412477,45.512527,28672.37360437759,132.33412728743554,0.2932908716671492,0.2555954846585376,1.0597672018972304,0.016667078199461716,0.11775599397515989,0.04426858276336041
2008-04-01,1.7394639253616333,0.0795405990031385,9126.308483753788,3.164,50329.86666666667,25.59753490865041,45.619026,32041.757260103383,145.28049855207212,0.3191260266436122,0.2836216134104635,1.0168432257768196,0.014099668957255826,0.09369966571967397,0.04011768610025172
2008-05-01,1.3251413106918335,0.0795405990031385,9212.675154504805,3.099,49448.83870967742,25.870987091459124,40.310982,31703.081026652097,154.15616391286648,0.3191260266436122,0.2836216134104635,1.0168432257768196,0.014099668957255826,0.09369966571967397,0.04011768610025172
2008-06-01,1.2076208591461182,0.0795405990031385,9167.552161886517,3.025,47918.333333333336,26.180598240589653,39.597847,31328.161123850863,140.50348421669764,0.3191260266436122,0.2836216134104635,1.0168432257768196,0.014099668957255826,0.09369966571967397,0.04011768610025172
2008-07-01,1.2687429189682007,0.0777491756762088,9423.922280103809,3.044,47600.41935483871,26.378719243561253,40.47261,34613.886730792256,136.63868805371584,0.31417081293021587,0.295747397166752,1.024322999039343,0.030142502097992383,0.09946097734168227,0.023420857271964367
2008-08-01,1.3946799039840698,0.0777491756762088,9514.530050593175,3.03,47300.3870967742,26.598686288685617,41.379536,34327.6352106305,131.34092143552698,0.31417081293021587,0.295747397166752,1.024322999039343,0.030142502097992383,0.09946097734168227,0.023420857271964367
2008-09-01,1.4418354034423828,0.0777491756762088,9665.911784809841,3.135,47072.23333333333,26.747088712964725,44.406704,34137.1732003648,132.18593848988462,0.31417081293021587,0.295747397166752,1.024322999039343,0.030142502097992383,0.09946097734168227,0.023420857271964367
2008-10-01,1.3792139291763306,0.0727862227506992,9772.618037991477,3.388,46608.1935483871,26.894737825445464,40.112427,-1259.725981338482,130.39517884255912,0.3236478677577894,0.30953662141635957,1.0069225566013913,0.03476859036825832,0.08142346699390046,0.04367929484326063
2008-11-01,1.427869439125061,0.0727862227506992,9665.005742384246,3.373,45663.53333333333,26.820159957406723,39.119862,-1263.2288567184362,125.52756329262156,0.3236478677577894,0.30953662141635957,1.0069225566013913,0.03476859036825832,0.08142346699390046,0.04367929484326063
2008-12-01,1.367720365524292,0.0727862227506992,9814.691562336282,3.453,46198.3870967742,26.75010196015821,37.037949,-1266.5372285481972,123.46600579407662,0.3236478677577894,0.30953662141635957,1.0069225566013913,0.03476859036825832,0.08142346699390046,0.04367929484326063
2009-01-01,1.5045872926712036,0.08361046824143,9707.105498986906,3.488,46789.35483870968,26.72825591800545,41.193947,13460.960606772313,116.7584192020652,0.32678462144157416,0.322822306518232,1.0153756645064336,0.03401215901215901,0.07381244881244882,0.022845397845397845
2009-02-01,1.3749550580978394,0.08361046824143,9634.041552563762,3.567,47058.03571428572,26.765921507924006,39.443775,13442.01804871488,114.85886148592792,0.32678462144157416,0.322822306518232,1.0153756645064336,0.03401215901215901,0.07381244881244882,0.022845397845397845
2009-03-01,1.3578119277954102,0.08361046824143,9905.727499536639,3.72,46933.45161290323,27.072519409861048,37.452305,13289.786390141031,126.16560261026108,0.32678462144157416,0.322822306518232,1.0153756645064336,0.03401215901215901,0.07381244881244882,0.022845397845397845
2009-04-01,1.353924036026001,0.0873917902564734,10040.924706212205,3.714,46268.23333333333,27.200582415584137,37.543808,-4315.348774765547,127.9905588745035,0.3192597647495871,0.29321649369898606,1.079206882730496,0.037957777168035896,0.09260858337233888,0.04649192181674387
2009-05-01,1.3216586112976074,0.0873917902564734,9873.307677053874,3.749,46556.25806451613,27.33015204490397,39.090973,-4294.890120155303,133.03567047814315,0.3192597647495871,0.29321649369898606,1.079206882730496,0.037957777168035896,0.09260858337233888,0.04649192181674387
2009-06-01,1.3403019905090332,0.0873917902564734,10059.622294165389,3.797,46385.13333333333,27.639009882236124,40.206398,-4246.895981445472,129.31265804805898,0.3192597647495871,0.29321649369898606,1.079206882730496,0.037957777168035896,0.09260858337233888,0.04649192181674387
2009-07-01,1.2347846031188965,0.0908752735518406,10017.770124761144,3.83,45992.16129032258,27.983273374091723,42.34824,-2640.8633118818448,127.3630583750141,0.3040065217823554,0.29257798494083903,1.077365061372885,0.03197999318309725,0.10188495287617809,0.03334733704828111
2009-08-01,1.1109501123428345,0.0908752735518406,10005.869168652143,3.851,44850.82394901522,28.27480504006134,40.690144,-2613.6342901495946,124.00328620894652,0.3040065217823554,0.29257798494083903,1.077365061372885,0.03197999318309725,0.10188495287617809,0.03334733704828111
2009-09-01,1.2235605716705322,0.0908752735518406,9634.51408599032,3.843,45192.77823067278,28.56407677063585,40.026787,-2587.165711442452,126.18512812472764,0.3040065217823554,0.29257798494083903,1.077365061372885,0.03197999318309725,0.10188495287617809,0.03334733704828111
2009-10-01,1.1456894874572754,0.0837217812970275,9695.998910860913,3.819,45733.03225806452,28.82848921186411,39.032707,-516.8498387306666,127.07986188269524,0.2970904195181195,0.2984791131174806,1.0984313022278662,0.033570857438502424,0.07935892008842481,0.020362008685699953
2009-11-01,1.158551812171936,0.0837217812970275,9576.146253005689,3.811,46803.833333333336,29.132073866607673,40.493763,-511.4637587501003,127.09219178029132,0.2970904195181195,0.2984791131174806,1.0984313022278662,0.033570857438502424,0.07935892008842481,0.020362008685699953
2009-12-01,1.044364094734192,0.0837217812970275,10224.711152375347,3.8,47716.67961659057,29.49667677701929,40.220432,-505.1416507912933,126.28656380555832,0.2970904195181195,0.2984791131174806,1.0984313022278662,0.033570857438502424,0.07935892008842481,0.020362008685699953
2010-01-01,1.2279928922653198,0.083,10075.423625098776,3.835,48116.401037670745,29.894425406559233,45.559372,-1951.8689256090402,121.50567852923164,0.3198988754850574,0.31814189689777334,1.0725785349162087,0.07292675432967358,0.09150166653054398,0.028799670194188727
2010-02-01,1.2178467512130737,0.083,10247.498103293081,3.859,47958.67857142857,30.353945603565613,43.539497,-1922.3201083007184,119.82280209203972,0.3198988754850574,0.31814189689777334,1.0725785349162087,0.07292675432967358,0.09150166653054398,0.028799670194188727
2010-03-01,1.3337738513946533,0.083,10492.30210397379,3.878,47681.90322580645,30.814972424168737,41.382629,-1893.560026496581,136.89550162046118,0.3198988754850574,0.31814189689777334,1.0725785349162087,0.07292675432967358,0.09150166653054398,0.028799670194188727
